sl_no,career,stream_after_12th,required_skills,preferred_interests,education_level_min,time_years_avg,cost_inr_avg,difficulty_level,risk_level,popularity_in_india,career_description,experiment_tasks_sample
360,Data Scientist (Global Chief Data Researcher),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + global leadership,22,6000000,high,medium,high,Global Chief Data Researcher.,Define global data research vision;Lead worldwide data research labs;Publish global data insights;Guide global data direction;Present at global data conferences
361,Cybersecurity Specialist (Global Chief Security Researcher),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + global leadership,22,6000000,very high,medium,very high,Global Chief Security Researcher.,Define global security research vision;Lead worldwide security research labs;Publish in top security journals;Guide global security direction;Present at global security conferences
362,Digital Marketing (Global Chief Marketing Researcher),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + global leadership,22,6000000,medium,low,very high,Global Chief Marketing Researcher.,Define global marketing research vision;Lead worldwide marketing research labs;Publish global marketing insights;Guide global marketing direction;Present at global marketing conferences
363,Fashion Design (Global Chief Design Researcher),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + global leadership,22,6000000,medium,low,high,Global Chief Design Researcher.,Define global design research vision;Lead worldwide design research labs;Publish global design insights;Guide global design direction;Present at global fashion forums
364,Government Job - Principal Economic Advisor Level,Any (Economics),economics;policy;finance;leadership,public service;economics;policy,Bachelor's + advanced degrees + decades,35+,500000,very high,low,very high,Serve as Principal Economic Advisor to Government of India.,Advise PM & Finance Minister on economic policy;Coordinate economic ministries;Formulate national economic strategy;Lead economic committees;Represent India globally
365,Software Engineer (Global Head of Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + global leadership,20,5000000,medium,low,high,Global Head of Engineering.,Define global engineering vision;Lead worldwide engineering teams;Drive global technical strategy;Present at global board meetings;Publish global engineering thought leadership
366,AI/ML Engineer (Global Chief AI Scientist),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;research,Master's + global leadership,20,5000000,high,medium,very high,Global Chief AI Scientist.,Define global AI research vision;Lead worldwide AI research;Publish in top global journals;Guide global AI direction;Present at global AI conferences
367,Data Scientist (Global Chief Data Scientist),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + global leadership,20,5000000,high,medium,high,Global Chief Data Scientist.,Define global data research vision;Lead worldwide data research;Publish global data insights;Guide global data direction;Present at global data conferences
368,Cybersecurity Specialist (Global Chief Security Scientist),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + global leadership,20,5000000,very high,medium,very high,Global Chief Security Scientist.,Define global security research vision;Lead worldwide security research;Publish in top security journals;Guide global security direction;Present at global security forums
369,Digital Marketing (Global Chief Marketing Scientist),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + global leadership,20,5000000,medium,low,very high,Global Chief Marketing Scientist.,Define global marketing research vision;Lead worldwide marketing research;Publish global marketing insights;Guide global marketing direction;Present at global marketing conferences
370,Fashion Design (Global Chief Design Scientist),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + global leadership,20,5000000,medium,low,high,Global Chief Design Scientist.,Define global design research vision;Lead worldwide design research;Publish global design insights;Guide global design direction;Present at global fashion forums
371,Government Job - Principal Defence Secretary Level,Any,defence;strategy;policy;leadership,public service;defence;leadership,Bachelor's + advanced experience,35+,500000,very high,low,very high,Serve as Defence Secretary of India.,Formulate national defence policy;Coordinate defence ministries;Advise Defence Minister;Lead defence forces coordination;Represent India in global defence forums
372,Software Engineer (Global Chief Engineer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;scalability,Bachelor's + global C-level,22,6000000,medium,low,high,Global Chief Engineer.,Define global engineering vision;Lead worldwide engineering research;Drive global technical innovation;Present at global board meetings;Publish global engineering thought leadership
373,AI/ML Engineer (Global Chief AI Researcher),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;research,Master's + global leadership,22,6000000,high,medium,very high,Global Chief AI Researcher.,Define global AI research vision;Lead worldwide AI research labs;Publish in top global journals;Guide global AI direction;Present at global AI summits
374,Data Scientist (Global Chief Data Researcher),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + global leadership,22,6000000,high,medium,high,Global Chief Data Researcher.,Define global data research vision;Lead worldwide data research labs;Publish global data insights;Guide global data direction;Present at global data conferences
375,Cybersecurity Specialist (Global Chief Security Researcher),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + global leadership,22,6000000,very high,medium,very high,Global Chief Security Researcher.,Define global security research vision;Lead worldwide security research labs;Publish in top security journals;Guide global security direction;Present at global security conferences
376,Digital Marketing (Global Chief Marketing Researcher),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + global leadership,22,6000000,medium,low,very high,Global Chief Marketing Researcher.,Define global marketing research vision;Lead worldwide marketing research labs;Publish global marketing insights;Guide global marketing direction;Present at global marketing conferences
